Model,Cross-Validation Folds,Test Accuracy,Precision,Cross-Validation Accuracy
Logistic Regression,5,0.9825479930191972,0.9847328244274809,0.9818860628687623
Logistic Regression,10,0.9825479930191972,0.9847328244274809,0.9834103947255757
Logistic Regression,15,0.9825479930191972,0.9847328244274809,0.9836315582699382
KNN (k=3),5,0.9834205933682374,0.967032967032967,0.9777406865943149
KNN (k=3),10,0.9834205933682374,0.967032967032967,0.9814496104118504
KNN (k=3),15,0.9834205933682374,0.967032967032967,0.9816722025786635
KNN (k=5),5,0.9851657940663177,0.9812734082397003,0.9779587891024939
KNN (k=5),10,0.9851657940663177,0.9812734082397003,0.9790483393745658
KNN (k=5),15,0.9851657940663177,0.9812734082397003,0.9799235686988822
KNN (k=10),5,0.9790575916230366,0.9844961240310077,0.9755563280680783
KNN (k=10),10,0.9790575916230366,0.9844961240310077,0.9764296791011408
KNN (k=10),15,0.9790575916230366,0.9844961240310077,0.9757762777242045
KNN (k=15),5,0.9799301919720768,0.9735849056603774,0.9770851885539041
KNN (k=15),10,0.9799301919720768,0.9735849056603774,0.977958539068223
KNN (k=15),15,0.9799301919720768,0.9735849056603774,0.9779627843851567
Decision Tree (depth=5),5,0.9066317626527051,0.7434402332361516,0.9196851799821898
Decision Tree (depth=5),10,0.9066317626527051,0.7434402332361516,0.9181560445624151
Decision Tree (depth=5),15,0.9066317626527051,0.7434402332361516,0.9185849494624806
Decision Tree (depth=10),5,0.9328097731239092,0.8068535825545171,0.946748701147181
Decision Tree (depth=10),10,0.9328097731239092,0.8068535825545171,0.9487104108989545
Decision Tree (depth=10),15,0.9328097731239092,0.8068535825545171,0.9476152719739994
Decision Tree (depth=15),5,0.9389179755671903,0.8269230769230769,0.9528598572333363
Decision Tree (depth=15),10,0.9389179755671903,0.8269230769230769,0.9554780184757068
Decision Tree (depth=15),15,0.9389179755671903,0.8269230769230769,0.9543790849673205
Decision Tree (depth=20),5,0.9458987783595113,0.8680555555555556,0.9556959041491859
Decision Tree (depth=20),10,0.9458987783595113,0.8680555555555556,0.9602810362378819
Decision Tree (depth=20),15,0.9458987783595113,0.8680555555555556,0.9622379370691813
